DISPLAY_FIRST_LAST,POSITION,height_in_inches,2P%_career,3P%_career,FT%_career,PF100_career,TS%_career,3PAr_career,FTr_career,ORB%_career,DRB%_career,AST%_career,STL%_career,BLK%_career,TOV%_career,USG%_career
Isaiah Canaan,Guard,72,0.483,0.419,0.803,3.8,0.606,0.514,0.42,2.4,9.3,22.2,2.4,0.3,15.5,26.7
Isaiah Joe,Guard,75,0.429,0.378,0.827,3.2,0.569,0.763,0.241,2,9.6,10.6,2.5,0.7,9.8,22.4
Isaiah Roby,Forward,80,0.523,0.336,0.702,6.9,0.555,0.248,0.429,7.3,17.6,12.2,2,6.7,17.9,18.9
Isaiah Stewart,Forward-Center,80,0.59,0.25,0.774,4.6,0.629,0.059,0.591,10.7,19.5,6.3,0.9,7,14.1,24.5
Isaiah Thomas,Guard,69,0.49,0.325,0.713,3.6,0.538,0.388,0.484,2.3,10.7,26.2,2.1,0.2,14.8,26.6
Isaiah Whitehead,Guard,76,0.387,0.359,0.757,4.4,0.5,0.429,0.341,2.6,10.5,31.6,2.4,3.7,17.9,30.8
Ivan Rabb,Forward,82,0.549,0.409,0.666,6,0.584,0.038,0.594,10.9,23.6,8.8,1.2,3.7,13.9,21.9
Ja Morant,Guard,74,0.545,0.343,0.81,2.8,0.597,0.298,0.501,5,14,43,2.2,1.8,19.7,27.2
Jabari Bird,Guard,78,0.512,0.371,0.753,3.9,0.555,0.495,0.183,3.5,10.5,9.2,1.2,1.1,11,21.3
Jabari Parker,Forward,79,0.504,0.358,0.748,4.7,0.558,0.212,0.429,11.4,23.1,8.6,2.1,4,11.9,32.7
Jacob Evans,Guard-Forward,76,0.476,0.377,0.755,4.2,0.551,0.469,0.286,5.3,11.6,16.8,2.4,3.5,10.6,20.9
Jaden McDaniels,Forward,81,0.445,0.339,0.763,6.1,0.515,0.378,0.339,4.4,15.8,14.6,1.4,4.9,20.4,25.6
Jae Crowder,Forward,78,0.581,0.35,0.683,4.7,0.584,0.386,0.377,8.2,20.8,12.5,3.6,3.2,7.6,21.9
Jahlil Okafor,Center-Forward,82,0.664,NA,0.51,4.3,0.641,0,0.462,14.8,18.2,9.4,1.5,4.5,15.6,27.6
